SYSTEM,TAG NUMBER,DESCRIPTION,reduced_tag,reduced_desc,col,unit,comment,ENG UNIT,tag_desc_uom
CALCULATION,10AVAILABILITY_FACTOR.CA,UNIT 1 AVAILABILITY FACTOR,AVAILABILITY_FACTOR.CA,AVAILABILITY FACTOR,AVAILABILITY_FACTOR.CA_AVAILABILITY FACTOR,1,12,%,10AVAILABILITY_FACTOR.CA_UNIT 1 AVAILABILITY FACTOR_%
CALCULATION,10BOILER_EFF.CA,UNIT 1 BOILER EFFICIENCY,BOILER_EFF.CA,BOILER EFFICIENCY,BOILER_EFF.CA_BOILER EFFICIENCY,1,12,%,10BOILER_EFF.CA_UNIT 1 BOILER EFFICIENCY_%
CALCULATION,10BOILER_RUNHRS%.CA,UNIT 1 BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,BOILER_RUNHRS%.CA,BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,BOILER_RUNHRS%.CA_BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,1,12,%,10BOILER_RUNHRS%.CA_UNIT 1 BOILER RUNNING HOURS  MONTHLY CUMMULATIVE_%
CALCULATION,10BOILER_RUNHRS.CA,UNIT 1 BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,BOILER_RUNHRS.CA,BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,BOILER_RUNHRS.CA_BOILER RUNNING HOURS  MONTHLY CUMMULATIVE,1,12,HRS,10BOILER_RUNHRS.CA_UNIT 1 BOILER RUNNING HOURS  MONTHLY CUMMULATIVE_HRS
CALCULATION,10CAPACITY_FACTOR.CA,UNIT 1 CAPACITY FACTOR,CAPACITY_FACTOR.CA,CAPACITY FACTOR,CAPACITY_FACTOR.CA_CAPACITY FACTOR,1,12,%,10CAPACITY_FACTOR.CA_UNIT 1 CAPACITY FACTOR_%
CALCULATION,10COMBUSTION_AIR.CA,UNIT 1 COMBUSTION AIR,COMBUSTION_AIR.CA,COMBUSTION AIR,COMBUSTION_AIR.CA_COMBUSTION AIR,1,12,ton,10COMBUSTION_AIR.CA_UNIT 1 COMBUSTION AIR_ton
CALCULATION,10HEAT_RATE.CA,UNIT 1 HEAT RATE,HEAT_RATE.CA,HEAT RATE,HEAT_RATE.CA_HEAT RATE,1,12,kCal/kWh,10HEAT_RATE.CA_UNIT 1 HEAT RATE_kCal/kWh
CALCULATION,10HLOSS_DFG.CA,UNIT 1 HEAT LOSS - DRY FLUE GAS,HLOSS_DFG.CA,HEAT LOSS - DRY FLUE GAS,HLOSS_DFG.CA_HEAT LOSS - DRY FLUE GAS,1,12,%,10HLOSS_DFG.CA_UNIT 1 HEAT LOSS - DRY FLUE GAS_%
CALCULATION,10HLOSS_MIA.CA,UNIT 1 HEAT LOSS - MOISTURE IN AIR,HLOSS_MIA.CA,HEAT LOSS - MOISTURE IN AIR,HLOSS_MIA.CA_HEAT LOSS - MOISTURE IN AIR,1,12,%,10HLOSS_MIA.CA_UNIT 1 HEAT LOSS - MOISTURE IN AIR_%
CALCULATION,10HLOSS_MIF.CA,UNIT 1 HEAT LOSS - MOISTURE IN FUEL,HLOSS_MIF.CA,HEAT LOSS - MOISTURE IN FUEL,HLOSS_MIF.CA_HEAT LOSS - MOISTURE IN FUEL,1,12,%,10HLOSS_MIF.CA_UNIT 1 HEAT LOSS - MOISTURE IN FUEL_%
